,total,benign,malware,b-m
movleamovxorcalmovxorcalmovjmp,113992,6.8862,6.0003,0.8859
pussubleamovmovtesjz_,12262,1.1715,0.2865,0.885
adraddbr_,7159,0.8847,0,0.8847
movmovmovmovmovmovjmp,48887,3.2233,2.3483,0.875
movaddpoppoppopret,11649,1.1267,0.2607,0.866
ldrldrblxmovcmpb__,7001,0.8652,0,0.8652
ldlldcbgt,8120,0.928,0.0629,0.8651
movmovaddret,20159,1.6026,0.7405,0.8621
ldacalldaldastfret,7368,0.8838,0.0222,0.8616
movmovmovcalnopjmp,19615,1.5717,0.7102,0.8615
pussubmovmovmovxorcmpjz_,6962,0.8602,0.0001,0.8601
movldrldrmovbl_,6957,0.8597,0,0.8597
movmovpopret,76992,4.7935,3.934,0.8595
movmovmovcalcmpjnz,27323,2.003,1.1446,0.8584
movmovleacalnopmovmovlealeacal...,6945,0.8583,0,0.8583
movmovmovmovcaltesjnz,23346,1.7789,0.9217,0.8572
movleamovmovcaljmp,15805,1.3552,0.4983,0.8569
movloccmpjnz,6925,0.8558,0,0.8558
puscaladdmovpoppopret,24297,1.8316,0.9758,0.8558
movmovcalmovaddpopret,13600,1.2284,0.3769,0.8515
addaddcmpb__,6982,0.8557,0.006,0.8497
movmovmovmovmovmovmovjmp,36609,2.5196,1.6703,0.8493
leamovmovmovret,8047,0.9151,0.0661,0.849
adrldrbr_,6849,0.8464,0,0.8464
xormovmovtesjz_,24790,1.8537,1.0081,0.8456
ldrldrstrldrmovbl_,6796,0.8398,0,0.8398
incmovcmpjb_,22778,1.7367,0.8985,0.8382
strldrstrldraddldrldrpuspusmov...,6774,0.8371,0,0.8371
puspuscalmovjmp,36279,2.4939,1.6577,0.8362
movmovcalcmpjz_,66042,4.1656,3.3296,0.836
adraddbl_,6763,0.8358,0,0.8358
xormovmovjmp,31047,2.1983,1.3653,0.833
ldaldfnewstlldaldfstlldlbrfldl...,7282,0.8628,0.0309,0.8319
addcmpret,6782,0.8334,0.0039,0.8295
movmovleatesjz_,15351,1.3141,0.4857,0.8284
ldaldfldacalret,7375,0.8639,0.0395,0.8244
ldlldsldccalbrfbr_,6796,0.828,0.0099,0.8181
movcalmovcmpjnz,36742,2.509,1.6928,0.8162
movmovxadcmpjnz,6652,0.8181,0.0033,0.8148
pussublealeacaladdpopret,6834,0.8276,0.0141,0.8135
addsubjnz,14991,1.2857,0.4724,0.8133
pusmovpopb__,6576,0.8127,0,0.8127
ldlldscalbrtbr_,6643,0.8161,0.004,0.8121
