,total,benign,malware,b-m
cdqsubsarmovjmp,2698,0.0688,0.2205,-0.1517
puspuspuspuscaladdpopret,7572,0.3424,0.4944,-0.152
ldcstlbr_,8304,0.3835,0.5356,-0.1521
or_movtesjnz,7274,0.3256,0.4777,-0.1521
movmovmovmovmovmovmovmovleadec...,2172,0.0389,0.1912,-0.1523
movandmovlearet,2137,0.0368,0.1894,-0.1526
xortessetxorleajz_,3161,0.0943,0.2469,-0.1526
movpusmovpusxorcmpjnz,3970,0.1396,0.2925,-0.1529
movcmpmovmovjz_,9022,0.4234,0.5763,-0.1529
puscalpopmovxorpopcalmovpopret,2367,0.0496,0.2025,-0.1529
puspusmovor_jnz,3715,0.1252,0.2782,-0.153
leamovcalmovmovmovcmpjnz,2101,0.0345,0.1876,-0.1531
movxormovmovshlor_leastostosto...,2066,0.0325,0.1857,-0.1532
or_puspopjmp,2858,0.077,0.2302,-0.1532
decincmovcmpjz_,1982,0.0276,0.1811,-0.1535
incadddecjnz,4396,0.1631,0.3168,-0.1537
leapuspuscalret,2265,0.0431,0.1973,-0.1542
pusmovpuspuscalcaljmp,2846,0.0756,0.23,-0.1544
tesjnsmovjmp,8128,0.372,0.527,-0.155
puscalmovaddmovjmp,3312,0.1015,0.2565,-0.155
andmovcalret,2638,0.0635,0.2187,-0.1552
decxormovpoppopret,3700,0.1231,0.2784,-0.1553
pusmovpuscalcaljmp,2759,0.0702,0.2256,-0.1554
movmovcalmovmovcalmovmovjmp,2086,0.0324,0.1878,-0.1554
puscalpopcaltesjnz,2674,0.0652,0.221,-0.1558
leamovcalpopret,2792,0.0718,0.2277,-0.1559
movleaxormovcaltesjz_,2165,0.0366,0.1925,-0.1559
leacalleamovcaltesjnz,2168,0.0365,0.1929,-0.1564
movpuscalor_movtesjz_,1902,0.0215,0.1779,-0.1564
puspuscalxormovmovcmpjnz,1968,0.0252,0.1816,-0.1564
xorleamovmovmovmovpoppoppoppop...,2419,0.0505,0.207,-0.1565
movandpuspopjmp,3476,0.1099,0.2664,-0.1565
xorxortesjle,3136,0.0907,0.2473,-0.1566
popxorpopmovpopret,5378,0.2166,0.3733,-0.1567
puspuscalxorcmpsettesjnz,2004,0.0271,0.1838,-0.1567
andmovcmpjnz,12914,0.6398,0.7967,-0.1569
movxorcmpjle,8995,0.4197,0.5766,-0.1569
movfiljmp,2801,0.0716,0.2288,-0.1572
pusmovpuspusjmp,2565,0.0582,0.2156,-0.1574
movleamovmovcaltesjnz,12690,0.6269,0.7844,-0.1575
movaddmovmovtesjnz,4168,0.1482,0.3057,-0.1575
fldfcofnstesjp_fstfstfldjmp,2733,0.0676,0.2251,-0.1575
puspuspuscalmovtesjz_,12591,0.6212,0.7789,-0.1577
calpuspopjmp,2057,0.0295,0.1872,-0.1577
movmovmovaddincdecmovmovtesjg_,1792,0.0146,0.1724,-0.1578
calmovcalmovcalor_jmp,2118,0.0329,0.1907,-0.1578
puscaladdmovpoppoppopmovpopret,5789,0.239,0.397,-0.158
pusmovcalmovcalpopret,4296,0.1551,0.3132,-0.1581
lealeacalleajmp,2052,0.029,0.1871,-0.1581
movandmovmovpoppopxorpopcallea...,2851,0.0739,0.232,-0.1581
puspuspuspuspuscaljmp,7851,0.3547,0.5129,-0.1582
movpusmovpuscaltesjz_,5731,0.2355,0.3939,-0.1584
movleapuspuscaltesjnz,3354,0.102,0.2604,-0.1584
or_movmovmovmovaddpopret,2531,0.0557,0.2142,-0.1585
movpusmovpuscalmovpusmovcalpop...,2550,0.0567,0.2153,-0.1586
subsardecpopret,2207,0.0374,0.1961,-0.1587
movcalpopxorpopret,1857,0.0177,0.1765,-0.1588
xormovcalpusjmp,2686,0.0641,0.2231,-0.159
movmovmovmovpuspusjmp,1856,0.0175,0.1765,-0.159
movmovpussubxormovmovcmpjz_,2204,0.0371,0.1961,-0.159
shrcmpjz_,5624,0.229,0.3883,-0.1593
or_movpopandpoppopcmpjz_,2442,0.0503,0.2096,-0.1593
incmovmovshlmovshror_movshlshr...,1828,0.0158,0.1751,-0.1593
cmpjnbmovmovandsarimumovtesjz_,3154,0.0901,0.2497,-0.1596
movleamovmovmovmovmovmovmovcmp...,3171,0.091,0.2507,-0.1597
movpusmovpusmovxormovpuspuspus...,2308,0.0425,0.2022,-0.1597
incincmovnegnegsbbmovmovmovor_...,2837,0.0722,0.232,-0.1598
movmovshrandmovjmp,2122,0.032,0.1918,-0.1598
decsubsbbxorsubsbbdecjnsnegneg...,2838,0.0722,0.2321,-0.1599
calmovcalcmpjmp,1834,0.0158,0.1757,-0.1599
cmppusmovjnz,7347,0.3254,0.4854,-0.16
xormovpoppopxorpopcalmovpopret,3265,0.0961,0.2561,-0.16
movandpoppoplearet,3825,0.1275,0.2876,-0.1601
movpustesjz_,15424,0.779,0.9391,-0.1601
leapusmovpuspuscalmovaddjmp,2447,0.05,0.2103,-0.1603
movpusmovpusmovpustesjz_,2708,0.0646,0.225,-0.1604
cmpjnbmovsarmovmovandshlmovmov...,1804,0.0137,0.1743,-0.1606
movleapuspuscalmovcmpjl_,1875,0.0175,0.1785,-0.161
leacmpjnbmovjmp,4550,0.1677,0.3288,-0.1611
puspuspuscalxorjmp,4744,0.1786,0.3397,-0.1611
calnopmovcalmovmovcalmovmovadd...,2021,0.0256,0.1868,-0.1612
puscalmovcalcmpjz_,3015,0.0814,0.2426,-0.1612
movsubmovjz_,3207,0.0922,0.2534,-0.1612
poppoptesjz_,3270,0.0957,0.257,-0.1613
movleapuspuspuspuscaltesjz_,2230,0.0372,0.1986,-0.1614
puspoppoppoppopret,4525,0.1661,0.3276,-0.1615
leapusmovcaltesjl_,1920,0.0196,0.1813,-0.1617
movmovmovmovaddcmpjge,3199,0.0914,0.2532,-0.1618
puspuscalpoppoppusjmp,1987,0.0234,0.1852,-0.1618
puscalpopcalmovjmp,3013,0.0809,0.2428,-0.1619
movcalpuspusmovmovmovandcalor_...,3130,0.0875,0.2494,-0.1619
leaxormovmovcaljmp,2953,0.0775,0.2395,-0.162
cmpsbbandleacmpja_,2432,0.0482,0.2103,-0.1621
movmovmovmovmovmovmovmovmovcmp...,4523,0.1656,0.3278,-0.1622
movmovaddjmp,38768,2.0891,2.2514,-0.1623
calmovxorpopret,2530,0.0535,0.2159,-0.1624
leacalpusleajmp,1955,0.0208,0.184,-0.1632
movmovaddcmpjbe,7365,0.3246,0.4879,-0.1633
movaddcmpjl_,12007,0.5853,0.7487,-0.1634
leasubdecmovinctesjnz,2350,0.0429,0.2063,-0.1634
movleamovmovcalmovcaljmp,1975,0.0217,0.1853,-0.1636
xormovcalpuspopmovcalmovpoppop...,2248,0.037,0.2007,-0.1637
addmovaddtesjz_,2505,0.0514,0.2151,-0.1637
puspuspuscaladdcalmovcalmovcmp...,2160,0.0319,0.1959,-0.164
movcmpjnbmovmovtesjz_,3277,0.0945,0.2587,-0.1642
puscalpoptespusjz_,3950,0.132,0.2968,-0.1648
incmovmovtesjz_,9685,0.454,0.619,-0.165
movpopmovtesjz_,2670,0.0599,0.225,-0.1651
lealeacmpsbbandjz_,2585,0.0551,0.2203,-0.1652
poppopor_popmovpopret,3512,0.1071,0.2724,-0.1653
xormovpuscalpopret,4287,0.1506,0.3159,-0.1653
puscaladdmovmovjmp,4243,0.148,0.3136,-0.1656
calpuspuspuspuspusmovcaladdmov...,3939,0.1309,0.2966,-0.1657
movcmpjnbmovcmpjb_,8066,0.3626,0.5285,-0.1659
puspuspuscalpoppuscaladdcmpjnz,2402,0.0442,0.2105,-0.1663
puscalpoppuscalpoppopret,5404,0.2128,0.3792,-0.1664
movimucmpjge,1876,0.0146,0.181,-0.1664
shrmovmovjmp,2809,0.0669,0.2335,-0.1666
leamovmovcalmovleacaltesjnz,1952,0.0188,0.1854,-0.1666
movmovincinccmpjz_,5537,0.2201,0.3868,-0.1667
calmovcalmovaddret,4528,0.163,0.3305,-0.1675
leapuspusleapuspuspuscaltesjz_,3420,0.1007,0.2683,-0.1676
or_movsubxordivjmp,2165,0.0302,0.1978,-0.1676
movpusmovmovmovcaltesjnz,2163,0.03,0.1977,-0.1677
puspusmovcalmovaddtesjz_,2493,0.0484,0.2164,-0.168
lealeajmp,16233,0.8201,0.9883,-0.1682
movdecmovmovmovmovmovjmp,2296,0.0372,0.2054,-0.1682
addmovmovmovmovmovmovincmovmov...,2096,0.026,0.1942,-0.1682
pusmovmovxorcmpjz_,2715,0.0607,0.229,-0.1683
movpuspuspusmovtesjz_,2709,0.0603,0.2287,-0.1684
movincinctesjnz,6797,0.2898,0.4584,-0.1686
movaddmovtesjs_,2022,0.0215,0.1903,-0.1688
puspuspusmovcaljmp,5929,0.2409,0.4098,-0.1689
puspusleapuscaltesjz_,3815,0.1221,0.2911,-0.169
leapuspusmovcaltesjz_,4338,0.1515,0.3205,-0.169
movpusmovmovpusmovcmpjnbmovtes...,3679,0.1143,0.2836,-0.1693
xorleacmpjnbmovjmp,2282,0.0358,0.2051,-0.1693
pusmovmovmovcmpjnz,11803,0.5706,0.74,-0.1694
movshrnotandmovmovmovpoppoppop...,4147,0.1405,0.31,-0.1695
movcmpjnbmovshrleanotanddecjnz,3040,0.0782,0.2479,-0.1697
or_cmpjb_,2615,0.0543,0.2241,-0.1698
xormovandcmpjz_,3067,0.0796,0.2495,-0.1699
pusmovcmpjb_,7005,0.3008,0.4707,-0.1699
movxorjz_,3347,0.095,0.2655,-0.1705
puscalpusmovcalpuscalpuscaladd...,2469,0.0456,0.2162,-0.1706
movsubsaraddpuscalor_popjmp,2245,0.033,0.2037,-0.1707
movfldfcofnstesjp_fldjmp,2890,0.0692,0.2399,-0.1707
andsubsaraddpuscalpoppopret,2246,0.033,0.2038,-0.1708
calmovcalxorcmpjz_,1980,0.018,0.1889,-0.1709
incshrtesjz_,2002,0.0192,0.1902,-0.171
movmovcaldecjz_,2237,0.0323,0.2035,-0.1712
movmovleamovmovmovmovpoppoppop...,2036,0.021,0.1922,-0.1712
negcmpjz_,5091,0.1924,0.3639,-0.1715
lealeacalnopjmp,3046,0.0775,0.2491,-0.1716
addbt_jnbleaaddpoplearet,3067,0.0786,0.2503,-0.1717
movaddpuscalpoppoppoppopret,2465,0.0447,0.2166,-0.1719
puscaladdmovmovmovpoppoppoppop...,3738,0.1162,0.2881,-0.1719
xortesjle,23434,1.2224,1.3945,-0.1721
puspuspuspuscaltesjz_,12410,0.6032,0.7753,-0.1721
movpussubmovcalxortesjnz,1900,0.0127,0.185,-0.1723
movimutesmovjz_,1941,0.015,0.1874,-0.1724
decsubjnsjmp,1796,0.0067,0.1794,-0.1727
movaddpuscalpoppopmovpoppopret,2262,0.0327,0.2056,-0.1729
puspuspuspuspuspuscalmovcmpjz_,4773,0.1738,0.3467,-0.1729
movmovpussubmovmovmovmovmovcal...,1862,0.0103,0.1832,-0.1729
calpuspopcmpjnz,3101,0.0798,0.2528,-0.173
lealealeamovcalcmpjnz,1932,0.0141,0.1872,-0.1731
movmovmovmovmovmovmovmovmovmov...,4688,0.1688,0.3421,-0.1733
movmovpusmovtesjz_,2693,0.0567,0.23,-0.1733
movsarandshladdjmp,2787,0.062,0.2353,-0.1733
movmovincmovjmp,10345,0.4865,0.6599,-0.1734
puspuspuspuspuscaltesjnz,3906,0.1248,0.2982,-0.1734
movcalleacmpmovcmocmpjnz,2164,0.0269,0.2004,-0.1735
movmovsubjo_,3343,0.0931,0.2667,-0.1736
or_movmovcalmovjmp,1871,0.0103,0.1841,-0.1738
movcalandmovmovjmp,1883,0.0109,0.1848,-0.1739
xormovincjmp,5204,0.1972,0.3715,-0.1743
movmovleamovmovcaltesjz_,4445,0.1546,0.3289,-0.1743
movmovmovpoppoppoplearet,5924,0.2376,0.412,-0.1744
movmovxorcalret,4334,0.1483,0.3227,-0.1744
or_poppoppopmovpopret,4349,0.149,0.3237,-0.1747
leacalincjmp,1862,0.0093,0.184,-0.1747
ldlbr_,5549,0.2164,0.3911,-0.1747
movandnegsbbnegaddtesjz_,1968,0.0152,0.19,-0.1748
movleasarmovpusmovpuscalpoppop...,2868,0.0657,0.2406,-0.1749
pusmovmovcalret,8064,0.3575,0.5325,-0.175
pussubleamovmovcalmovaddpopjmp,5242,0.1988,0.3741,-0.1753
addmovmovjmp,37532,2.0125,2.1879,-0.1754
dectesjz_,11139,0.5297,0.7057,-0.176
movpoppopmovpoppopret,4760,0.1712,0.3475,-0.1763
addtesjle,6893,0.291,0.4673,-0.1763
pusxorcmpjnz,6061,0.2442,0.4207,-0.1765
tesmovmovjz_,10657,0.5022,0.6789,-0.1767
movdecjmp,15471,0.7726,0.9493,-0.1767
leamovcalmovmovmovmovjmp,2156,0.0246,0.2015,-0.1769
xorsubjz_,4595,0.1615,0.3386,-0.1771
leamovimusarmovshraddimucmpjz_,1928,0.0117,0.1888,-0.1771
incor_jmp,2689,0.0544,0.2316,-0.1772
movpussubmovmovmovcmpjg_,1824,0.0057,0.1831,-0.1774
calmovcalandor_movcalmovjmp,1954,0.013,0.1904,-0.1774
movandpopmovpoppopmovpopret,2335,0.0342,0.2119,-0.1777
xorincpusjmp,2442,0.0402,0.218,-0.1778
movpuspuscalpoppopjmp,6020,0.2411,0.419,-0.1779
movcldpoplearet,3630,0.1068,0.2848,-0.178
movandmovmovpopret,3084,0.0761,0.2541,-0.178
xormovcalmovcalmovjmp,2019,0.0163,0.1943,-0.178
pusmovcalcmpjz_,11610,0.555,0.7331,-0.1781
or_movxadjnz,3727,0.1122,0.2903,-0.1781
movcmpcmojz_,2130,0.0225,0.2006,-0.1781
calor_movcmpjz_,2666,0.0525,0.2308,-0.1783
puspuspuscalpuspuscaltesjz_,1883,0.0085,0.1868,-0.1783
andmovmovaddmovmovcmpjnbmovmov...,2384,0.0366,0.215,-0.1784
movpusmovpuspuspuspuspuspuspus...,4090,0.1324,0.3109,-0.1785
movmovcalleamovcalcmpjb_,1835,0.0057,0.1842,-0.1785
puscalpuscalandpopaddcmpjl_,2724,0.0556,0.2342,-0.1786
caladdmovjmp,3377,0.0922,0.2709,-0.1787
movcalpuspopmovcalmovpoppopret,2482,0.0419,0.2207,-0.1788
calxorpoppoppopmovpusleamovcal...,4762,0.1699,0.3488,-0.1789
movmovincmovcmpjle,2961,0.0687,0.2477,-0.179
pusmovsubjmp,2421,0.0383,0.2174,-0.1791
movmovxorcmpsetmovret,4832,0.1736,0.3529,-0.1793
pusmovpuspuspuscaltesjnz,3140,0.0786,0.2579,-0.1793
leapusjmp,5333,0.2016,0.3812,-0.1796
movsubsarjmp,4610,0.1609,0.3406,-0.1797
andmovmovshlor_incjmp,1795,0.0027,0.1826,-0.1799
movmovmovcalmovmovxoraddpopret,1810,0.0035,0.1835,-0.18
movpusmovpuspusxorpuspuspuscal...,2558,0.0454,0.2256,-0.1802
calmovmovjmp,33432,1.7795,1.9598,-0.1803
movlealeaandmovmovmovimumovlea...,1867,0.0065,0.1868,-0.1803
addjnsmovmovnegmovaddtesjz_,1923,0.0096,0.19,-0.1804
puspuscalpoppopcalor_movjmp,2764,0.0568,0.2373,-0.1805
movaddcalmovtesjz_,3232,0.083,0.2636,-0.1806
caladdmovtesjz_,2476,0.0405,0.2212,-0.1807
or_movmovcaltesjz_,4120,0.1328,0.3136,-0.1808
shrcmpjnz,6147,0.2467,0.4275,-0.1808
lealeanopmovinctesjnz,2019,0.0148,0.1956,-0.1808
submovcmpjb_,7978,0.3494,0.5304,-0.181
movpuspusleapusleapuscaladdtes...,2812,0.0592,0.2402,-0.181
puspuspuspuscaladdpuscalpoptes...,2787,0.0578,0.2388,-0.181
movmovleamovcalleamovcaljmp,1848,0.0049,0.1862,-0.1813
pusxorcmpjl_,3351,0.0892,0.2707,-0.1815
leacalleamovcaltesjs_,1804,0.0023,0.1838,-0.1815
movshlmovmovor_addjmp,1782,0.0011,0.1826,-0.1815
movmovmovcalleacalnopjmp,1825,0.0035,0.185,-0.1815
movpusmovpusmovcmpja_,2857,0.0614,0.243,-0.1816
xormovmovcalmovmovmovcaltesjnz,1857,0.0052,0.1869,-0.1817
leaxorcalmovdecjs_,1830,0.0037,0.1854,-0.1817
movcallealeacalmovjmp,1802,0.0021,0.1838,-0.1817
leamovcalmovmovcmpjle,1840,0.0042,0.186,-0.1818
movsubmovmovmovmovaddsubcmpjb_,1830,0.0036,0.1855,-0.1819
movmovjnz,2118,0.0196,0.2017,-0.1821
movxorcalxormovaddpopret,1808,0.0022,0.1843,-0.1821
movpusmovpusmovjmp,4205,0.1368,0.319,-0.1822
movmovpussubxormovmovmovmovlea...,1791,0.0012,0.1834,-0.1822
addbt_jnbmovaddpoplearet,2842,0.0602,0.2425,-0.1823
movleamovmovmovmovpoppoppoppop...,5114,0.1877,0.3702,-0.1825
puspuspuspuscaladdtesjnz,10186,0.4726,0.6551,-0.1825
sbbor_tesjz_,10615,0.4967,0.6792,-0.1825
movpuspusmovcaladdmovmovjmp,1793,0.0011,0.1837,-0.1826
pusmovpusmovxorjz_,2593,0.046,0.2287,-0.1827
movaddinccmpjl_,3860,0.1172,0.2999,-0.1827
leaxormovmovcaltesjnz,2050,0.0154,0.1982,-0.1828
movleacmpjnbcmpjz_,2543,0.0431,0.2259,-0.1828
puspuscalcalmovtesjz_,3351,0.0884,0.2714,-0.183
puscalpopmovcalpuscalpopcalret,2707,0.0522,0.2353,-0.1831
leamovpusleapuspuscaltesjz_,1873,0.0053,0.1884,-0.1831
puscalpopxorpuscalpopmovpopret,2640,0.0483,0.2316,-0.1833
leamovmovcallealeacallealeacal...,1782,0.0001,0.1834,-0.1833
leaaddaddcmpjl_,1845,0.0036,0.187,-0.1834
fchfcofnstesjz_,1906,0.007,0.1904,-0.1834
movpusmovsubpusleacalmovmovmov...,2628,0.0475,0.2311,-0.1836
puscalpoppuscalpopandmovtesjz_,2652,0.0487,0.2325,-0.1838
puscalpopmovcalpuscalpopmovmov...,2652,0.0487,0.2325,-0.1838
movcalandmovmovmovxoraddpopret,1793,0.0004,0.1843,-0.1839
xorincmovpuscalpopret,2448,0.0372,0.2211,-0.1839
incpopret,6290,0.253,0.4369,-0.1839
puscalpoptesjs_,2885,0.0617,0.2457,-0.184
movmovcalmovtesmovmovcmocaltes...,1791,0.0002,0.1842,-0.184
movmovmovaddmovmovtesjle,2002,0.012,0.1962,-0.1842
movmovmovmovcalmovmovcalcmpjbe,1802,0.0006,0.185,-0.1844
movmovmovandshrshlmovmovtesjz_,1802,0.0006,0.185,-0.1844
movmovpuscalpopmovcalcalret,2661,0.0488,0.2333,-0.1845
pusleapuspuspuscaladdtesjz_,2803,0.0568,0.2413,-0.1845
leamovmovleamovsubmovnotor_add...,1800,0.0004,0.185,-0.1846
movmovmovleaor_xormovcaltesjz_,1800,0.0004,0.185,-0.1846
leamovor_incdecjnz,2663,0.0488,0.2335,-0.1847
movandcmpjb_,11768,0.5601,0.7451,-0.185
incpuspuspuspuscalmovtesjnz,2658,0.0483,0.2334,-0.1851
movmovshrandcmpjnz,3430,0.0916,0.2769,-0.1853
calpoppoptesjz_,5251,0.1938,0.3793,-0.1855
puscalpopmovpoppopret,41400,2.2242,2.4098,-0.1856
fstfstfldmovret,3492,0.0949,0.2805,-0.1856
puspopmovleacmpjz_,1804,0.0001,0.1857,-0.1856
leapusleapuscalmovaddtesjnz,1958,0.0087,0.1944,-0.1857
fylret,3495,0.095,0.2807,-0.1857
puspusmovpusmovmovmovpusmovcal...,1804,0,0.1858,-0.1858
movmovmovandmovtesjz_,3878,0.1164,0.3023,-0.1859
calmovmovcalcmpjnz,4169,0.1326,0.3188,-0.1862
movmovpuspuspuspuspussubmovmov...,2136,0.0184,0.2046,-0.1862
pusleacalmovleapuscalincmovjmp,1808,0,0.1862,-0.1862
movpusmovcalmovaddmovret,1808,0,0.1862,-0.1862
xorpoppopmovpopret,6520,0.2646,0.4509,-0.1863
movmovmovmovcmpmovjz_,3438,0.0914,0.2778,-0.1864
movpussubmovmovmovcaltesjnz,4156,0.1316,0.3183,-0.1867
puspusmovmovleasubpuspuspusmov...,4699,0.162,0.3489,-0.1869
calandcalmovcalor_movaddpoppop...,2121,0.0171,0.2042,-0.1871
inccmpjnz,87711,4.8246,5.0118,-0.1872
movshlor_movaddmovmovmovcmpmov...,1819,0,0.1873,-0.1873
movmovbswmovmovmovmovmovmovadd...,1820,0,0.1874,-0.1874
movpusshlpusor_movcaladdjmp,1820,0,0.1874,-0.1874
movmovmovcalinccmpjb_,2912,0.0613,0.2488,-0.1875
movmovshlpuspusor_movcaladdjmp,1821,0,0.1875,-0.1875
puscalpopmovxorret,2872,0.0589,0.2466,-0.1877
movincmovcaljmp,2301,0.0268,0.2146,-0.1878
xordecjmp,3069,0.0698,0.2579,-0.1881
movcmpjmp,7624,0.3256,0.5137,-0.1881
puscalandor_jmp,2574,0.0418,0.2303,-0.1885
puscalandjmp,3967,0.12,0.3085,-0.1885
pusleacalincmovcmpjnz,1834,0.0002,0.1887,-0.1885
puscalpuscalpoppopret,4226,0.1345,0.3231,-0.1886
puscaladdpopmovcmpjz_,1850,0.001,0.1897,-0.1887
movshlpuspuscalpuscaladdmovtes...,1836,0,0.1891,-0.1891
movmovinctesjz_,9106,0.4083,0.5975,-0.1892
pusleapuspusmovcaladdtesjnz,2426,0.033,0.2223,-0.1893
poppopjmp,9549,0.433,0.6225,-0.1895
puscalcaljmp,3645,0.1013,0.2909,-0.1896
puscaladdpopmovpoppoppopjmp,1842,0,0.1897,-0.1897
puspuspuspuspuspuspuspusleamov...,1842,0,0.1897,-0.1897
movpusmovmovcmpjz_,9245,0.4152,0.606,-0.1908
negsbbandleapopret,3053,0.0674,0.2583,-0.1909
calmovcalandjmp,5223,0.1892,0.3802,-0.191
movor_leaaddmovor_jz_,3075,0.0683,0.2597,-0.1914
leapuspuspuspuscalmovmovpoppop...,2624,0.043,0.2344,-0.1914
pusmovcalcaljmp,4500,0.1483,0.3398,-0.1915
calandcalmovcalor_calret,2647,0.0441,0.2358,-0.1917
or_movmovmovmovjmp,3185,0.0743,0.2661,-0.1918
movmuljmp,3016,0.0648,0.2566,-0.1918
puscalmovcalpuscalpopmovpoppop...,2688,0.0462,0.2383,-0.1921
movmovcalmovmovcmpjbe,2524,0.037,0.2291,-0.1921
calmovpuspuspuspuspuscaladdor_...,5346,0.1954,0.3877,-0.1923
popcmpjz_,4008,0.1202,0.3125,-0.1923
sbbsbbcmpjnz,5283,0.1917,0.3843,-0.1926
popxorpoppopret,10719,0.497,0.6896,-0.1926
movmovmovmovpuscalpusleapuscal...,3053,0.0664,0.2591,-0.1927
xormovxorxorxorxorcmpmovjz_,1872,0,0.1928,-0.1928
xormovaddtesjnsxormovaddtesjns...,1872,0,0.1928,-0.1928
movmovcalandmovxorpoppopret,1872,0,0.1928,-0.1928
submovinccmpjnz,4776,0.163,0.356,-0.193
calandcalmovcalor_jmp,3462,0.0892,0.2822,-0.193
xormovmovmovmovjmp,6316,0.2494,0.4426,-0.1932
xorpuspuspuspuspusjmp,2759,0.0496,0.2428,-0.1932
jnsleajmp,3406,0.0858,0.2793,-0.1935
movmovcalcmpjg_,5591,0.2084,0.4021,-0.1937
movmovaddcmpjnbtesjnz,2541,0.0371,0.2308,-0.1937
puspuscalpoppoppuspopjmp,2603,0.0405,0.2343,-0.1938
or_or_jmp,7859,0.3355,0.5297,-0.1942
movpusmovmovxortesjz_,4569,0.1505,0.3451,-0.1946
pusleapusmovcalor_movtesjz_,4689,0.1571,0.352,-0.1949
jnbmovmovmovmovmovmovcmpjz_,1902,0.0005,0.1954,-0.1949
movpussubmovmovmovcmpjnz,4503,0.1466,0.3416,-0.195
pusleapuscaltesjz_,6500,0.2587,0.4538,-0.1951
xormovinccmpjl_,3110,0.0682,0.2634,-0.1952
movdecjnz,11106,0.5173,0.7126,-0.1953
puspuspuspuspuspuscaladdcmpjnz,2502,0.0337,0.2295,-0.1958
addmovadddecjz_,2417,0.0288,0.2249,-0.1961
movxormovmovcalcmpjz_,2938,0.058,0.2542,-0.1962
movmovmovsubjz_,11342,0.53,0.7263,-0.1963
addlealeamovmovaddxorxoraddtes...,3160,0.0704,0.2667,-0.1963
pusleapusleapuscalmovaddtesjnz,2005,0.0054,0.2019,-0.1965
movmovmovandtesjz_,13602,0.6568,0.8534,-0.1966
movjnz,7471,0.312,0.5093,-0.1973
poppoppopmovxorcalmovpopret,3941,0.1137,0.3111,-0.1974
movcalmovcalret,5676,0.2111,0.4086,-0.1975
leapuscaladdmovtesjz_,3842,0.108,0.3056,-0.1976
movpusmovsubpusleacalleapuspus...,3244,0.0744,0.2721,-0.1977
puscaladdpuspuspuspuspuspuspus...,1921,0,0.1978,-0.1978
movcalpusmovmovandcalmovmovlea...,3064,0.0641,0.2621,-0.198
leamovmovmovcmpjz_,7240,0.2986,0.4968,-0.1982
andxorpopret,3898,0.1107,0.3091,-0.1984
leamovcalmovpusmovmovmovleapus...,2664,0.0412,0.24,-0.1988
movpuspuspoptesjnz,3038,0.0622,0.261,-0.1988
movpuspuspuspuspuscaladdpoppop...,2044,0.0062,0.2053,-0.1991
cmpjnbcmpjnbshrshrret,3494,0.0876,0.2868,-0.1992
movxorandshrret,3518,0.0889,0.2882,-0.1993
andtesjle,3259,0.0741,0.2738,-0.1997
xorincpoppoppopmovpopret,2500,0.0315,0.2312,-0.1997
calmovor_movjmp,3116,0.066,0.2659,-0.1999
movcalmovmovmovmovcaltesjz_,4208,0.1273,0.3273,-0.2
incmovmovmovcmpjnz,3734,0.1006,0.3007,-0.2001
puspuscalpopjmp,4535,0.1456,0.3457,-0.2001
pusmovpuscaladdpopjmp,1952,0.0005,0.2006,-0.2001
movpuspuscaltesjz_,17303,0.8627,1.0629,-0.2002
leapuspuscaladdtesjnz,11487,0.536,0.7363,-0.2003
puspopret,25961,1.349,1.5493,-0.2003
pusleacaljmp,13851,0.6686,0.8692,-0.2006
movpuscaladdcmpjle,2638,0.0387,0.2394,-0.2007
submovaddsubjnz,3019,0.0599,0.2609,-0.201
movmovxormovmovpoppoppoppopmov...,4719,0.1552,0.3566,-0.2014
movandcmpjz_,51542,2.7851,2.9868,-0.2017
movmovmovmovpuspuscalpoppopret,5190,0.1812,0.3835,-0.2023
movpuspusmovcaladdmovcmpjge,1965,0,0.2023,-0.2023
movlealeamovsubmovmovleacmpmov...,2925,0.0539,0.2563,-0.2024
movleamovmovsubmovmovleacmpmov...,2925,0.0539,0.2563,-0.2024
or_jnz,11399,0.5297,0.7325,-0.2028
movsubtesjle,12884,0.6127,0.8162,-0.2035
leacalpusfstjz_,3594,0.0907,0.2945,-0.2038
movpuspuspuspusmovpuscalmovpus...,1980,0,0.2039,-0.2039
movmovincmovcmpjnbcmpjnz,3074,0.0614,0.2654,-0.204
calmovxorjmp,8307,0.355,0.5596,-0.2046
fldleapuspuspusfstcaltesjz_,2150,0.0091,0.2138,-0.2047
pusleapuspuspuscaltesjz_,6956,0.279,0.4838,-0.2048
movleacalpopret,3222,0.0692,0.2741,-0.2049
submovmovleapuspuspusmovmovmov...,1990,0,0.2049,-0.2049
pusmovpusmovpuspusmovxormovxor...,1992,0,0.2051,-0.2051
sarmovxormovxormovxoraddmovadd...,1992,0,0.2051,-0.2051
sarxormovmovleasarmovxormovxor...,1992,0,0.2051,-0.2051
puscalpopcalpuspuscalpoppoptes...,2645,0.0366,0.2419,-0.2053
movcmpjnbcmpjz_,5721,0.2093,0.4147,-0.2054
subpusmovtesjle,2067,0.0041,0.2095,-0.2054
movleaincmovmovcmpjl_,2036,0.0023,0.2077,-0.2054
cmpjnbmovcmpjz_,8426,0.3611,0.5668,-0.2057
puscalpopandtesjz_,2981,0.0552,0.2609,-0.2057
cmpjnbmovmovtesjnz,2714,0.0402,0.246,-0.2058
ldsbr_,2282,0.0159,0.2217,-0.2058
